title,ingredients,instructions,cook_time,servings,source,url
Adana kebab,Romano Pepper | Lamb Mince | Red Pepper Paste | Pul Biber | Sunflower Oil,"step 1
Finely chop the peppers in a food processor, then tip them in a sieve and press into the sieve so that the peppers release all of their juices. Tip into a bowl along with the mince, red pepper paste, pul biber, 1½ tsp flaky sea salt, and 2 tbsp of the oil. Mix together, kneading well for at least 2-3 mins. If you need to, wet your hands with cold water to prevent the mixture from sticking. The mixture should be sticky when ready. Cover and chill for at least 2 hrs, or up to 12 hrs.

step 2
When ready to cook, heat the grill to high or an oven to 220C/200C fan/gas 6. Divide the mixture into 12 equal portions, around 85g each. If you’d like to skewer them, divide into 8 equal portions and roll into balls. Using wet hands, thread the balls onto the end of the skewers, massaging the mixture down the skewers in between the palms of your hands, until evenly distributed. Ensure that the mixture is fully wrapped tightly around the skewers without any exposed metal. Alternatively, lay them on a large baking tray lined with parchment paper if cooking in the oven, or foil if cooking under the grill. Shape into 20cm-long köfte. Wet your fingers with a little cold water and make indents all along the köfte for the traditional shape.

step 3
Gently brush each köfte with the remaining 1 tbsp oil and cook under the grill, on the top shelf for 10-12 mins, turning regularly, or cook in the oven for 16-18 mins, until crispy on the outside and juicy in the middle",,,TheMealDB,https://www.themealdb.com/images/media/meals/04axct1763793018.jpg
Air Fryer Egg Rolls,Olive Oil | Ground Pork | Garlic | Ginger | Carrots | Scallions | Cabbage | Soy Sauce | Rice Vinegar | Egg Roll Wrappers | Oil | Duck Sauce | Plum Sauce | Soy Sauce,"Alternative Pan Fry Method: If you don’t have access to an air fryer, you can make these egg rolls using a traditional pan fry method. Add enough oil to a medium skillet with high walls so the oil is about 1/2 inch up the side of the skillet. Heat oil on medium high heat until it reaches 350°F. Add egg rolls and fry for 3 to 4 minutes, flip, and fry for another 3 to 4 minutes until golden brown. Remove and let them drain and cool on a few paper towels.

Cook the filling:
In a large skillet over medium heat, add the olive oil along with the ground pork or chicken. Break apart the meat with a spatula or wooden spoon as it cooks. Cook until the meat is cooked through, 6 to 8 minutes.

Add garlic, ginger, carrot, scallions, and cabbage. Continue to cook until cabbage wilts down and is soft, another 3 to 4 minutes, stirring regularly. Season the filling with soy sauce and rice wine vinegar, and take off the heat to cool. (This filling can be made in advance.)

Assemble the egg rolls:
Place a single egg roll wrapper on a dry surface with one point of the square facing you (like a diamond). Place about 1/4 cup of the egg roll filling mixture in the middle of the wrapper.

Dip your fingers in water and run around the edges of the wrapper. Then fold the edges of the wrapper over the center and start rolling the egg roll away from you to form a tight cylinder. Place on a plate and repeat until you are out of filling. You should get at least a dozen egg rolls.

Air fry the egg rolls:
Place the egg rolls in the basket of your air fryer. Spray or brush them lightly with oil. Add as many as you can without stacking the egg rolls, making sure they don’t touch. Air needs to circulate around them. Brush the egg rolls lightly with oil.

Place the basket in the air fryer and turn the air fryer to 350°F. Cook for 6 to 7 minutes, then flip the egg rolls, spray or brush with oil a second time on the bottom side, and cook for another 4 to 5 minutes.

Finished egg rolls should be golden brown and crispy! Serve immediately.",,,TheMealDB,https://www.themealdb.com/images/media/meals/grhn401765687086.jpg
Air fryer patatas bravas,Potatoes | Olive Oil | Onion | Garlic | Paprika | Tomato Puree | Tinned Tomatos | Basil Leaves,"step 1
Soak the potatoes in just-boiled water for 30 mins, then drain and leave to air-dry for 5 mins. Heat the air fryer to 200C. Tip the potatoes into a bowl and drizzle over 1 tbsp of the oil and add 1/2 tsp each of salt and freshly ground black pepper. Mix to coat the potatoes all over, then tip into the air fryer basket and cook for 20-30 mins until crisp and golden.

step 2
Meanwhile, heat the remaining oil in a small pan over a medium-low heat and fry the onion for 8-10 mins until softened but not golden. Stir in the garlic and cook for a minute before adding the paprika and cooking for 30 seconds more. Stir in the tomato purée, cook for 1 min, then tip in the chopped tomatoes. Cook for 5-10 mins over a medium heat until thickened slightly.

step 3
Once the potatoes are cooked, tip out onto a platter and pour over the tomato sauce. Sprinkle with the basil leaves, then serve.",,,TheMealDB,https://www.themealdb.com/images/media/meals/3m8yae1763257951.jpg
Ajo blanco,White bread | Almonds | Extra Virgin Olive Oil | Garlic Clove | Red Wine Vinegar,"step 1
Tip the bread into a bowl and pour over 350ml water. Leave to soak for 10 mins.

step 2
Blend the ingredients together with 350ml water and 1 tsp salt.

step 3
Let the soup cool in the fridge for 1 hr or so, then serve with a drizzle of oil and some black pepper.",,,TheMealDB,https://www.themealdb.com/images/media/meals/5jdtie1763289302.jpg
Alfajores,All purpose flour | Cornstarch | Butter | Sugar | Egg Yolks | Lemon Zest | Dulce de leche | Desiccated Coconut,"Make the Dough: Cream butter and sugar. Add egg yolks and lemon zest. Gradually mix in flour and cornstarch to form a dough. Chill for 1 hour.
Bake the Cookies: Roll out the dough, cut into circles, and bake at 180°C (350°F) for 12-15 minutes. Let cool.
Assemble: Spread dulce de leche on one cookie, then sandwich with another. Roll the edges in coconut flakes.
Pro Tips:

Chill the dough before rolling it out to make it easier to handle and to prevent the cookies from spreading too much while baking.
Dip the alfajores in melted chocolate and let them set on a wire rack for an extra decadent treat.",,,TheMealDB,https://www.themealdb.com/images/media/meals/a4kgf21763075288.jpg
Algerian Bouzgene Berber Bread with Roasted Pepper Sauce,Red Pepper | Tomato | Olive Oil | Garlic | Jalapeno | Salt | Semolina | Salt | Water | Olive Oil | Olive Oil,"Preheat your oven's broiler. Place red bell peppers and tomatoes on a baking sheet, and roast under the broiler for about 8 minutes, turning occasionally. This should blacken the skin and help it peel off more easily. Cool, then scrape the skins off of the tomatoes and peppers, and place them in a large bowl. Remove cores and seeds from the bell peppers.

Heat 1 tablespoon of olive oil in a skillet over medium heat. Add the jalapenos and garlic, and cook until tender, stirring frequently. Remove from heat, and transfer the garlic and jalapeno to the bowl with the tomatoes and red peppers. Using two sharp steak knives (one in each hand), cut up the tomatoes and peppers to a coarse and soupy consistency. Stir, and set sauce aside.

Place the semolina in a large bowl, and stir in salt and 4 tablespoons of olive oil. Gradually add water while mixing and squeezing with your hand until the dough holds together without being sticky or dry, and molds easily with the hand. Divide into 6 pieces and form into balls.

For each round, heat 1 tablespoon of olive oil in a large heavy skillet over medium heat. Roll out dough one round at a time, to no thicker than 1/4 inch. Fry in the hot skillet until dark brown spots appear on the surface, and they are crispy. Remove from the skillet, and wrap in a clean towel while preparing the remaining flat breads.

To eat the bread and sauce, break off pieces of the bread, and scoop them into the sauce. It will slide off, but just keep reaching in!",,,TheMealDB,https://www.themealdb.com/images/media/meals/se5vhk1764114880.jpg
Algerian Carrots,Water | Carrots | Olive Oil | Salt | Black Pepper | Ground Cinnamon | Ground Cumin | Garlic | Thyme | Bay Leaf | Lemon Juice,"Place a steamer insert into a saucepan, and fill with 1 1/2 cups of water, or just below the bottom of the steamer. Cover, and bring the water to a boil over high heat. Add the sliced carrots, reduce the heat to medium, and cover the pan again. Steam until tender but not mushy, 4 to 6 minutes depending on the thickness of the slices. Reserve 1/2 cup of the cooking liquid.

Heat the olive oil in a skillet over medium heat. Reduce the heat to low and stir in the salt, pepper, cinnamon, cumin, garlic, and thyme. Cook the spices and garlic, stirring frequently, until fragrant, about 10 minutes. Add the 1/2 cup reserved cooking liquid and the bay leaf, cover, and simmer for 20 minutes.

Stir in the carrots, tossing well to coat with the spice mixture, and cook until heated through, about 2 to 3 minutes. Sprinkle with lemon juice and remove the bay leaf before serving.",,,TheMealDB,https://www.themealdb.com/images/media/meals/o2cd4r1764113576.jpg
Algerian Flafla (Bell Pepper Salad),Green Pepper | Olive Oil | Red Onions | Garlic | Salt | Pepper | Plum Tomatoes,"Preheat an oven to 450 degrees F (230 degrees C). Place the whole peppers on aluminum foil. Bake until the skin is spotted black and the peppers are soft, 30 to 45 minutes, turning the peppers once if necessary.

Remove peppers from the oven and set aside to cool for 10 minutes. Peel off the skin and remove the stem and seeds. Chop the roasted peppers into half-inch pieces.

Heat the olive oil in a skillet over medium heat. Stir in the onion and cook, stirring frequently, until the onion has softened and turned translucent, about 5 minutes. Add the garlic, salt, and pepper; stir in the chopped peppers and tomato. Cook over medium heat, stirring occasionally, until the tomato is soft and the mixture is well incorporated, about 5 minutes.",,,TheMealDB,https://www.themealdb.com/images/media/meals/tbj1bs1764118062.jpg
Algerian Kefta (Meatballs),Ground Beef | Garlic | Onion | Salt | Pepper | Plum Tomatoes | Parsley | Water,"Combine ground beef with 1/2 of the minced garlic and 1 tablespoon chopped onion in a large bowl. Mix with your hands until fully incorporated. Shape meat mixture into 1 1/2-inch oblong patties; you should have 12 to 14 meatballs.

Heat a large skillet over medium-high heat. Brown patties in batches in the hot skillet until crispy on both sides and no longer pink in the center, about 10 minutes. Set meatballs aside in a rimmed serving dish.

Reduce heat to medium and stir remaining chopped onion into drippings in the skillet. Season with salt and pepper. Cook, stirring constantly, until onion has softened and turned translucent, about 5 minutes. Stir in remaining garlic and cook for 30 seconds. Stir in Roma tomatoes, dried parsley, and ras el hanout. Pour in water. Cook until tomatoes are soft, about 5 minutes.

Pour tomato sauce over meatballs to serve.",,,TheMealDB,https://www.themealdb.com/images/media/meals/8rfd4q1764112993.jpg
Anzac biscuits,Porridge oats | Desiccated Coconut | Plain Flour | Caster Sugar | Butter | Golden Syrup | Bicarbonate Of Soda,"step 1
Heat oven to 180C/fan 160C/gas 4. Put the oats, coconut, flour and sugar in a bowl. Melt the butter in a small pan and stir in the golden syrup. Add the bicarbonate of soda to 2 tbsp boiling water, then stir into the golden syrup and butter mixture.

step 2
Make a well in the middle of the dry ingredients and pour in the butter and golden syrup mixture. Stir gently to incorporate the dry ingredients.

step 3
Put dessertspoonfuls of the mixture on to buttered baking sheets, about 2.5cm/1in apart to allow room for spreading. Bake in batches for 8-10 mins until golden. Transfer to a wire rack to cool.",,,TheMealDB,https://www.themealdb.com/images/media/meals/q47rkb1762324620.jpg
Apam balik,Milk | Oil | Eggs | Flour | Baking Powder | Salt | Unsalted Butter | Sugar | Peanut Butter,"Mix milk, oil and egg together. Sift flour, baking powder and salt into the mixture. Stir well until all ingredients are combined evenly.

Spread some batter onto the pan. Spread a thin layer of batter to the side of the pan. Cover the pan for 30-60 seconds until small air bubbles appear.

Add butter, cream corn, crushed peanuts and sugar onto the pancake. Fold the pancake into half once the bottom surface is browned.

Cut into wedges and best eaten when it is warm.",,,TheMealDB,https://www.themealdb.com/images/media/meals/adxcbq1619787919.jpg
